Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://www.demoblaze.com/index.html#,100,120693,3931,253350,70550.43,73.000%,.32784,195.05,2.13,609219.6
https://www.demoblaze.com/config.json,400,8498,48,39020,11010.21,11.750%,.51787,0.29,0.20,565.6
https://api.demoblaze.com/entries,200,15065,234,46695,12206.29,14.000%,.25897,0.74,0.08,2916.5
https://hls.demoblaze.com/index.m3u8,400,11672,46,39713,11004.15,20.000%,.51929,0.53,0.16,1037.5
https://hls.demoblaze.com/about_demo_hls_600k.m3u8,400,4894,42,42261,8244.53,6.750%,.52212,0.97,0.20,1893.7
https://hls.demoblaze.com/about_demo_hls_600k00000.ts,400,27464,35,164161,46431.17,2.750%,.52273,69.43,0.21,136009.7
Test,100,309364,48517,403423,66025.72,83.000%,.22756,258.59,1.83,1163629.4
https://api.demoblaze.com/bycat,100,19972,6211,39330,7029.58,15.000%,.24278,0.59,0.08,2492.5
Choose a category (laptop),100,19972,6211,39330,7029.58,15.000%,.24278,0.59,0.08,2492.5
https://www.demoblaze.com/prod.html?idp_=11,100,46482,21023,105303,21067.18,92.000%,.22405,48.51,0.96,221734.2
https://api.demoblaze.com/view,200,6553,172,40805,8886.34,16.500%,.36145,0.31,0.12,883.8
Choose a laptop,100,82202,25403,192974,32509.67,96.000%,.19086,42.12,1.16,225993.0
https://api.demoblaze.com/addtocart,100,3658,191,27318,6528.22,5.000%,.24790,0.08,0.12,330.9
Add to a cart,100,3658,191,27318,6528.22,5.000%,.24790,0.08,0.12,330.9
https://www.demoblaze.com/cart.html,100,28275,4394,94819,14290.87,90.000%,.23304,23.90,1.35,105024.3
https://api.demoblaze.com/viewcart,100,6246,176,21060,8161.57,18.000%,.31175,0.22,0.12,723.1
Go to cart,100,50061,5339,168734,29743.93,91.000%,.21132,22.42,1.70,108619.3
https://api.demoblaze.com/deletecart,100,450,182,4849,661.07,0.000%,.35147,0.07,0.16,206.1
https://www.demoblaze.com/index.html,100,23657,1712,52523,8982.20,53.000%,.28423,27.54,2.57,99202.6
Purchase the product,100,37531,4767,120696,16543.08,54.000%,.27223,27.51,3.12,103494.7
TOTAL,3400,29575,35,403423,60129.02,26.941%,4.37519,403.28,8.87,94385.9
